pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,pl_insol,st_teff,st_rad,st_mass,st_met,pl_dens
Kepler-1167 b,1.71,3.57,1419.0,0.0175,1039.697,4971.0,0.75,0.79,-0.05,3.92
Kepler-1740 b,3.32321414,11.0,858.0,0.0779,127.95,5705.0,0.905,0.943,-0.06,1.65
Kepler-1581 b,0.8,0.437,1108.0,0.06865,470.862,6022.0,1.23,1.12,0.07,4.69
Kepler-644 b,3.15,10.1,1655.0,0.04641,2381.77,6747.0,1.81,1.49,0.08,1.78
Kepler-1752 b,4.54060463,18.7,419.0,0.2698,7.29,5446.0,0.821,0.824,-0.2,1.1
Kepler-280 c,2.01,4.7,1088.0,0.056,279.085,5744.0,0.886,0.962,0.1213,3.18
Kepler-1208 b,2.32,5.99,665.0,0.0901,37.664,5001.0,0.76,0.8,-0.03,2.64
Kepler-263 c,2.47,6.66,386.0,0.242,5.994,5265.0,0.785,0.793,-0.0314,2.43
Kepler-1101 b,2.47,6.66,393.0,0.3483,3.577,5614.0,0.91,0.94,-0.04,2.43
HD 168746 b,11.1,85.8141,900.0,0.07,,5570.0,1.09,1.07,-0.08,0.345
Kepler-560 b,1.72,3.61,298.0,0.0899,2.46,3556.0,0.33,0.34,-0.39,3.9
Kepler-150 d,2.79,8.2,734.0,0.104,65.142,5560.0,0.939,0.956,0.12,2.07
Kepler-498 b,3.03,9.43,931.0,0.0897,202.775,5744.0,0.96,0.98,-0.04,1.86
Kepler-817 b,9.03,60.2,1124.0,0.0493,550.203,5861.0,1.03,1.03,0.02,0.449
Kepler-937 b,3.72,13.4,495.0,0.3214,20.627,6095.0,1.22,1.15,0.08,1.43
K2-10 b,3.773,25.2,649.0,0.137,42.1,5533.0,0.956,0.88,-0.07,2.36
Kepler-571 b,2.64,7.46,978.0,0.0546,219.036,5527.0,0.9,0.93,0.01,2.23
Kepler-1458 b,2.76,8.05,493.0,0.24869,8.293,5653.0,0.94,0.96,0.02,2.1
Kepler-1600 c,1.94206512,4.43,786.0,0.06961,84.7,5119.0,0.834,0.818,0.1,3.32
Kepler-221 d,2.73,3.61,712.0,0.087,56.293,5243.0,0.821,0.854,0.0616,0.9
Kepler-626 b,2.29,5.86,784.0,0.10913,69.795,5813.0,1.05,1.01,0.01,2.68
Kepler-1549 b,2.57,7.13,286.0,0.6687,1.184,5324.0,0.84,0.88,0.02,2.31
K2-62 c,1.99,4.62,495.0,0.1148,14.3,4455.0,0.696,0.67,-0.1,3.22
Kepler-1149 b,1.44,2.67,1128.0,0.0473,653.831,5833.0,1.01,1.02,0.02,4.91
Kepler-1288 b,1.12,1.46,2017.0,0.04135,1342.5,6132.0,1.29,1.2,0.14,5.71
Kepler-128 b,1.421,3.79,968.0,0.12545,227.398,6072.0,1.659,1.184,-0.03,7.222837
Kepler-1245 b,1.44,2.67,1043.0,0.0484,194.344,5306.0,0.83,0.86,-0.01,4.91
Kepler-1068 b,3.63,12.8,702.0,0.13038,55.933,5806.0,1.01,1.01,0.03,1.47
Kepler-150 e,3.12,9.91,544.0,0.189,19.671,5560.0,0.939,0.956,0.12,1.79
Kepler-272 c,1.79,97.8,947.0,0.061,310.76,5297.0,0.929,0.91,0.04,93.7
Kepler-152 c,2.39,6.3,326.0,0.356,2.57,5088.0,0.724,0.779,-0.12,2.54
Kepler-1506 b,1.32,2.3,783.0,0.1168,235.807,5676.0,0.93,0.95,-0.05,5.5
CoRoT-3 b,11.32,6883.91,1695.0,0.05783,,6740.0,1.56,1.37,0.14,26.4
HD 205739 b,13.6,435.41,,0.896,,6176.0,1.33,1.22,0.19,0.951
HD 224693 b,14.0,222.481,,0.191,,5894.0,1.93,1.31,0.27,0.446
HD 16417 b,5.0,22.1,,0.14,,5841.0,1.639984,1.2,0.06,0.972
HD 19994 b,13.6,435.41,,1.305,,6188.0,1.79647,1.365,0.27,0.951
GJ 179 b,13.8,301.93698665,,2.41,,3370.0,0.38,0.357,0.3,0.631
GQ Lup b,33.6,6356.0,2650.0,100.0,,4360.0,1.94153,0.7,-0.35,0.921
HD 37605 b,13.2,854.9627,,0.277,,5329.0,0.91,0.94,0.27,2.04
HD 33283 b,12.5,104.56607,,0.1508,,5935.0,1.97,1.38,0.35,0.294
HD 9446 b,14.0,222.472,,0.189,,5793.0,1.0,1.0,0.09,0.446
HD 134987 c,13.9,260.0,,5.8,,5585.0,1.25,1.1,0.28,0.532
HD 110014 b,12.4,3524.59,,2.14,,4445.0,20.9,2.17,0.19,10.2
HD 79498 b,13.6,425.8922,,2.98,,5748.0,1.05,1.08,0.18,0.93
HD 45652 b,14.3,137.62039,,0.237,,5294.0,0.94,0.92,0.26,0.259
HIP 79431 b,13.4,667.415,,0.36,,3191.0,0.478625,0.49,0.4,1.52
GJ 876 b,13.3,723.2235,,0.208317,,3293.74,0.3,0.32,0.2129,1.69
HD 47186 c,13.0,111.42,,2.395,,5657.0,1.08,0.96,0.24,0.279
HD 148156 b,13.9,270.144,,2.45,,6308.0,1.21,1.22,0.29,0.553
HIP 14810 c,13.6,416.3573,,0.549,,5544.0,1.07,1.01,0.24,0.91
HIP 14810 b,13.0,1239.537,,0.0696,,5544.0,1.07,1.01,0.24,3.1
GJ 876 d,2.51,6.83,,0.02080665,,3293.74,0.3,0.32,0.2129,2.37
GJ 876 e,3.92,14.6,,0.3343,,3293.74,0.3,0.32,0.2129,1.33
gam1 Leo b,12.5,2790.43,,1.19,,4330.0,31.88,1.23,-0.51,7.85
HD 156411 b,14.0,235.18,,1.88,,5900.0,2.16,1.25,-0.12,0.471
HD 8535 b,14.0,216.1244,,2.45,,6136.0,1.19,1.13,0.06,0.433
HD 37605 c,13.1,1013.8777,,3.74,,5329.0,0.91,0.94,0.27,2.48
HD 1605 c,13.0,1150.5446,,3.584,,4915.0,3.49,1.33,0.22,2.88
BD+20 2457 b,12.1,6807.63,,1.45,,4137.0,49.0,2.8,-1.0,21.1
HD 240210 b,12.8,1655.82,,1.16,,4297.0,25.456816,0.82,-0.18,4.34
CoRoT-17 b,11.43,772.29,1626.0,0.0461,,5740.0,1.59,1.04,0.0,2.82
HD 132563 b,13.6,473.547,,2.62,,6289.0,1.29577,1.231,-0.06,1.03
HD 55696 b,12.9,1357.12729789,,3.18,,6012.0,1.52,1.29,0.37,3.47
HD 148164 b,13.7,390.9309,,0.993,,6032.0,1.34,1.21,0.24,0.835
24 Sex c,13.9,273.32,,2.08,,5098.0,4.9,1.54,-0.03,0.559
HD 22781 b,12.3,4338.2,,1.167,,5027.0,0.743475,0.75,-0.37,12.8
HD 148164 c,12.8,1640.0028,,6.15,,6032.0,1.34,1.21,0.24,4.3
HD 90156 b,4.43,17.98,,0.25,,5599.0,0.920286,0.84,-0.24,1.14
HD 45350 b,13.5,568.89,,1.92,,5566.0,1.26442,0.98,0.23,1.27
MOA-2009-BLG-266L b,3.21,10.4,,3.2,,,,0.56,,1.73
Kepler-595 c,1.009,3.3,679.0,0.0983,50.23,5138.5,0.821,0.93,0.406,6.9
Kepler-595 b,3.708,17.4,535.0,0.1582,17.382,5138.5,0.821,0.93,0.406,1.23
HD 177830 c,7.87,47.6725,,0.5137,,4949.0,2.62,1.47,0.545,0.537
OGLE-TR-111 b,11.421971,174.799,1019.0,0.0473,,5040.0,0.83,0.82,0.19,0.65
PSR B1257+12 b,0.338,0.02,,0.19,,,,1.4,,2.85
PSR B1257+12 d,1.8,3.9,,0.46,,,,1.4,,3.67
HD 21749 c,0.892,3.7,701.0,0.0695,305.9425,4640.0,0.695,0.73,0.003,31.93
CoRoT-18 b,14.68,1102.82,1550.0,0.0295,823.7009,5440.0,1.0,0.95,-0.1,2.2
Kepler-45 b,10.76,160.497,1000.0,0.03,68.37,3820.0,0.55,0.59,0.28,0.8
WASP-23 b,10.783,280.95,1076.55,0.0376,317.4314,5150.0,0.765,0.78,-0.05,1.17
HD 107148 b,9.6,66.741,,0.269,,5797.0,1.169193,1.12,0.314,0.415
SWEEPS-11 b,12.666,3082.82,,0.03,,,1.45,1.1,,8.34
OGLE-TR-211 b,15.244,327.351,1686.0,0.051,,6325.0,1.64,1.33,0.11,0.42
Lupus-TR-3 b,9.976,257.431,,0.0464,,5000.0,0.82,0.87,,1.4
OGLE-2005-BLG-390L b,2.21,5.5,50.0,2.6,,,,0.22,,2.8
HN Peg b,11.7768,6991.57,,773.0,,6186.0,1.006954,1.08,-0.036,23.5
MOA-2009-BLG-387L b,13.2,830.0,,1.8,,,,0.19,,1.98
GJ 674 b,3.33,11.09,,0.039,,3600.0,0.36463,0.35,-0.28,1.65
CoRoT-11 b,16.03,740.51,1657.0,0.0436,1890.649,6440.0,1.37,1.27,-0.03,0.99
2MASS J04414489+2301513 b,12.6,2383.6,,15.0,,2936.0,0.231916,0.019,,6.55
GJ 3634 b,2.83,8.4,,0.0287,,3517.0,0.43,0.45,,2.04
CoRoT-13 b,9.92,415.704,1700.0,0.051,546.5339,5945.0,1.01,1.09,0.01,2.34
OGLE-TR-10 b,14.011,197.046,1702.0,0.0434,,5950.0,1.17,1.14,0.28,0.4
HD 27442 b,13.5,495.8,,1.271,,4846.0,3.18,1.23,0.42,1.11
GJ 3021 b,13.1,1071.04,350.0,0.49,,5540.0,0.9,0.9,0.1,2.62
CoRoT-8 b,6.39,69.92,870.0,0.063,,5080.0,0.77,0.88,0.3,1.6
Kepler-18 c,5.49,17.3,899.0,0.0752,126.081,5345.0,1.108,0.972,0.19,0.59
Kepler-18 b,2.0,6.9,1165.0,0.0447,355.735,5345.0,1.108,0.972,0.19,4.9
HD 46375 b,10.0,71.8,,0.0398,,5285.0,0.914196,0.92,0.24,0.395
HD 221287 b,13.1,982.05,,1.25,,6304.0,1.13864,1.25,-0.03,2.4
HD 33564 b,12.5,2892.1,,1.1,,6250.0,1.4367,1.25,-0.12,8.14
HD 189733 b,12.66617,359.1479,1209.0,0.03126,356.0,5052.0,0.75,0.79,-0.02,0.943
Kepler-4 b,4.002,24.472,1650.0,0.0456,1245.431,5857.0,1.487,1.223,0.17,1.91
WASP-38 b,13.78707,1093.3352,1250.0,0.07522,,6180.0,1.52,1.76,-0.02,2.3
Kepler-18 d,6.98,16.4,720.0,0.1172,51.922,5345.0,1.108,0.972,0.19,0.27
HAT-P-37 b,13.204,371.528,1271.0,0.0379,412.3914,5500.0,0.877,0.929,0.03,0.89
HD 129445 b,13.3,797.74930157,,2.9,,5646.0,1.175816,0.99,0.25,1.86
Kepler-419 c,12.6,2320.1,,1.68,,6430.0,1.74,1.39,0.176,6.37
HD 70573 b,12.8,1900.0,,1.76,,5737.0,0.976919,1.0,-0.18,4.98
HD 47536 b,12.6,2330.0,,1.93,,4380.0,23.47,2.1,-0.65,6.4
WASP-67 b,12.89035,136.6669,1003.0,0.05179,188.1062,5200.0,0.88,0.91,-0.07,0.388
CoRoT-14 b,12.22,2415.4,1952.0,0.027,,6035.0,1.21,1.13,0.05,7.3
MOA-2008-BLG-310L b,5.18,23.4,,1.1,,,,0.21,,0.925
Kepler-419 b,10.8,794.5,613.0,0.37,37.416,6430.0,1.74,1.39,0.176,3.5
HD 11964 c,5.38,25.0,,0.229,,5303.0,2.00971,0.91,0.1,0.882
CoRoT-6 b,13.068,940.74,1017.0,0.0855,,6090.0,1.025,1.05,-0.2,2.32
WASP-31 b,17.363,151.916,1423.7,0.04659,970.9417,6302.0,1.252,1.163,-0.2,0.172
HD 108236 f,2.017,4.72,,0.1758,,5660.0,0.877,0.869,-0.28,3.16
Kepler-59 c,1.98,3.81,752.0,0.13114,107.741,6074.0,0.94,1.04,-0.2,1.62
HD 154857 c,13.2,819.97,,5.36,,5605.0,1.76,1.718,-0.2,1.96
KOI-217 b,12.442,,1046.0,0.0477,272.033,5545.0,0.86,0.95,0.12,
Kepler-62 c,0.54,4.0,578.0,0.0929,28.489,4925.0,0.64,0.69,-0.37,
Kepler-62 b,1.31,9.0,750.0,0.0553,80.326,4925.0,0.64,0.69,-0.37,
CHXR 73 b,12.3,3994.486,,210.0,,3099.0,,0.35,,11.8
FU Tau b,12.2,5085.28,2375.0,800.0,,2838.0,,0.05,,15.4
GJ 667 C b,2.25,5.68,,0.050431,,3350.0,,0.33,-0.55,2.74
Kepler-59 b,1.1,4.1,864.0,0.09943,187.51,6074.0,0.94,1.04,-0.2,8.7
